ID,Location,Heading,Is_Formal,Statement_Type,Axiom_Count,Theorem_Count,Is_Technical,Conversational_Score,Has_Contradictions,Has_Ambiguity,Is_Definitive,Max_Severity,Concept_Density,Concepts,Aliases,Tags
GEN0-001,genesis-0/feynman-rules-interaction-vertices::δ-feynman-rules-interaction-vertices::the-deviational-quantum-field-theory-dqft-vertex-dictionary::b1,***The Deviational Quantum Field Theory (DQFT) Vertex Dictionary***,False,,0,0,True,0.0,True,False,False,0.6,0,"Meta-Time, IGSOA, δ, δ-operator, δ-spectrum",Bk075tr,conflicted
GEN0-002,genesis-0/feynman-rules-interaction-vertices::1-propagators::δ-boson-propagator::b1,**δ-Boson Propagator**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, ε, Δ, mass-scaling",Bk925dd,"definitive, low-uncertainty"
GEN0-003,genesis-0/feynman-rules-interaction-vertices::2-fundamental-δ-interaction-vertices::b1,**2\. Fundamental δ-Interaction Vertices**,False,,0,0,True,0.0,True,False,False,0.6,0,"QED, δ, primitive, δ generates them",Bk971ba,conflicted
GEN0-004,genesis-0/feynman-rules-interaction-vertices::2-fundamental-δ-interaction-vertices::a-the-pure-deviation-3-vertex::δδδ-interaction-cubic-vertex::b1,**δδδ Interaction (cubic vertex)**,False,,0,0,True,0.0,False,False,True,0.0,0,"δ, λ, self-fractal reinforcement, ⊃, Meta-Lagrangian",Bk941af,"definitive, low-uncertainty"
GEN0-005,genesis-0/feynman-rules-interaction-vertices::2-fundamental-δ-interaction-vertices::b-δadjacency-vertex::δ-producing-geometric-adjacency-nonlocality-generator::b1,**δ producing geometric adjacency (nonlocality generator)**,False,,0,0,True,0.0,False,False,True,0.0,0,"Adjacency, δ, ∂, ⊃, bends adjacency structure",Bk388am,"definitive, low-uncertainty"
GEN0-006,genesis-0/feynman-rules-interaction-vertices::2-fundamental-δ-interaction-vertices::c-δφ-chromatic-field-vertex::δ-as-a-generator-of-colorflavor::b1,**δ as a generator of color/flavor**,False,,0,0,True,0.0,False,False,True,0.0,0,"Φ, δ, chromatic-flavor fractal index, ⊃, chromatic-flavor",Bk358ms,"definitive, low-uncertainty"
GEN0-007,genesis-0/feynman-rules-interaction-vertices::2-fundamental-δ-interaction-vertices::d-δσ-vertex-meta-time-coupling::b1,**(D) δ–σ Vertex (Meta-Time Coupling)**,False,,0,0,True,0.16,False,False,True,0.0,0,"Meta-Time, δ, σ, η, ⊃",Bk015tc,"definitive, low-uncertainty"
GEN0-008,genesis-0/feynman-rules-interaction-vertices::2-fundamental-δ-interaction-vertices::e-δgravity-vertex-δcurvatureeinstein-projection::b1,**(E) δ–Gravity Vertex (δ–Curvature–Einstein Projection)**,False,,0,0,True,0.16,False,False,True,0.0,0,"Meta-Einstein, μ, ν, δ, κ",Bk458fy,"definitive, low-uncertainty"
GEN0-009,genesis-0/feynman-rules-interaction-vertices::3-mixed-interaction-vertices-4-point::b1,**3\. Mixed Interaction Vertices (4-point)**,False,,0,0,False,0.0,False,False,True,0.0,0,Meta-Lagrangian,Bk996ta,"definitive, low-uncertainty"
GEN0-010,genesis-0/feynman-rules-interaction-vertices::3-mixed-interaction-vertices-4-point::a-δδφφ-vertex::b1,**(A) δδΦΦ Vertex**,False,,0,0,True,0.0,False,False,True,0.0,0,"Φ, δ, λ, ⊃, ΦV",Bk118ms,"definitive, low-uncertainty"
GEN0-011,genesis-0/feynman-rules-interaction-vertices::3-mixed-interaction-vertices-4-point::b-δδσσ-vertex::b1,**(B) δδσσ Vertex**,False,,0,0,True,0.0,False,False,True,0.0,0,"Meta-Time, σ, δ, η",Bk481eh,"definitive, low-uncertainty"
GEN0-012,genesis-0/feynman-rules-interaction-vertices::3-mixed-interaction-vertices-4-point::c-δδhh-δgravity-quartic::b1,**(C) δδhh (δ–Gravity Quartic)**,False,,0,0,True,0.0,False,False,True,0.0,0,"η, ν, β, δ, μ",Bk514dd,"definitive, low-uncertainty"
GEN0-013,genesis-0/feynman-rules-interaction-vertices::4-mode-mixing-vertices-unique-to-δ-theory::b1,**4\. Mode-Mixing Vertices (unique to δ-theory)**,False,,0,0,True,0.0,False,False,True,0.0,0,"Meta-Fractal, mode-mixing, δ-operator, δ, Fractal Stack",Bk154st,"definitive, low-uncertainty"
GEN0-014,genesis-0/feynman-rules-interaction-vertices::4-mode-mixing-vertices-unique-to-δ-theory::a-δm1-δm2-flavor-exchange::b1,**(A) δ(m1) ↔ δ(m2) Flavor Exchange**,False,,0,0,True,0.16,False,False,True,0.0,0,"μ, →",Bk355vt,"definitive, low-uncertainty"
GEN0-015,genesis-0/feynman-rules-interaction-vertices::5-adjacency-induced-effective-nonlocal-vertices::b1,**5\. Adjacency-Induced Effective Nonlocal Vertices**,False,,0,0,False,0.0,False,False,True,0.0,0,,Bk954ta,"definitive, low-uncertainty"
GEN0-016,genesis-0/feynman-rules-interaction-vertices::5-adjacency-induced-effective-nonlocal-vertices::effective-δ-nonlocal-2-vertex::b1,**Effective δ-Nonlocal 2-vertex**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, ⊃, α, x-y, straight geometry",Bk402lm,
GEN0-017,genesis-0/feynman-rules-interaction-vertices::6-the-master-summary-table::b1,**6\. The Master Summary Table**,False,,0,0,True,0.0,False,False,False,0.3,0,"δ, Φ, σ, Adjacency, η",Bk305vt,
GEN0-018,genesis-0/feynman-rules-interaction-vertices::7-where-this-goes-in-the-book::b1,**7\. Where This Goes in the Book**,False,,0,0,True,0.0,False,False,True,0.0,0,"Meta-Einstein, Tri-Unity, Theorem, Meta-Einstein curvature chapter, Meta-Standard-Model chapter",Bk092tv,"definitive, low-uncertainty"
GEN0-019,genesis-0/feynman-rules-interaction-vertices::if-you-want-the-full-diagram-set::b1,**If you want the full diagram set:**,False,,0,0,True,0.16,False,False,True,0.0,0,"δ, All δ-Feynman diagrams, δ-Ward identities, tree-level, δ-running",Bk184cp,"definitive, low-uncertainty"
GEN0-020,genesis-0/feynman-rules-interaction-vertices::if-you-want-the-full-diagram-set::you-said::b1,**You said:**,False,,0,0,True,0.0,False,False,True,0.0,0,"flavor-mass, δ-Higgs, δ",Bk797th,"definitive, low-uncertainty"
